😀	grinning face	1f600
🧔🏻‍♀️	woman: light skin tone, beard	1f9d4-1f3fb-200d-2640-fe0f
🧔🏼‍♀️	woman: medium-light skin tone, beard	1f9d4-1f3fc-200d-2640-fe0f
🧔🏽‍♀️	woman: medium skin tone, beard	1f9d4-1f3fd-200d-2640-fe0f
🧔🏾‍♀️	woman: medium-dark skin tone, beard	1f9d4-1f3fe-200d-2640-fe0f
🧔🏿‍♀️	woman: dark skin tone, beard	1f9d4-1f3ff-200d-2640-fe0f
👨‍🦰	man: red hair	1f468-200d-1f9b0
👨🏻‍🦰	man: light skin tone, red hair	1f468-1f3fb-200d-1f9b0
👨🏼‍🦰	man: medium-light skin tone, red hair	1f468-1f3fc-200d-1f9b0
👨🏽‍🦰	man: medium skin tone, red hair	1f468-1f3fd-200d-1f9b0
👨🏾‍🦰	man: medium-dark skin tone, red hair	1f468-1f3fe-200d-1f9b0
👨🏿‍🦰	man: dark skin tone, red hair	1f468-1f3ff-200d-1f9b0
👨‍🦱	man: curly hair	1f468-200d-1f9b1
👨🏻‍🦱	man: light skin tone, curly hair	1f468-1f3fb-200d-1f9b1
👨🏼‍🦱	man: medium-light skin tone, curly hair	1f468-1f3fc-200d-1f9b1
👨🏽‍🦱	man: medium skin tone, curly hair	1f468-1f3fd-200d-1f9b1
👨🏾‍🦱	man: medium-dark skin tone, curly hair	1f468-1f3fe-200d-1f9b1
👨🏿‍🦱	man: dark skin tone, curly hair	1f468-1f3ff-200d-1f9b1
👨‍🦳	man: white hair	1f468-200d-1f9b3
👨🏻‍🦳	man: light skin tone, white hair	1f468-1f3fb-200d-1f9b3
👨🏼‍🦳	man: medium-light skin tone, white hair	1f468-1f3fc-200d-1f9b3
👨🏽‍🦳	man: medium skin tone, white hair	1f468-1f3fd-200d-1f9b3
👨🏾‍🦳	man: medium-dark skin tone, white hair	1f468-1f3fe-200d-1f9b3
👨🏿‍🦳	man: dark skin tone, white hair	1f468-1f3ff-200d-1f9b3
👨‍🦲	man: bald	1f468-200d-1f9b2
👨🏻‍🦲	man: light skin tone, bald	1f468-1f3fb-200d-1f9b2
👨🏼‍🦲	man: medium-light skin tone, bald	1f468-1f3fc-200d-1f9b2
👨🏽‍🦲	man: medium skin tone, bald	1f468-1f3fd-200d-1f9b2
👨🏾‍🦲	man: medium-dark skin tone, bald	1f468-1f3fe-200d-1f9b2
👨🏿‍🦲	man: dark skin tone, bald	1f468-1f3ff-200d-1f9b2
👩	woman	1f469
👩🏻	woman: light skin tone	1f469-1f3fb
👩🏼	woman: medium-light skin tone	1f469-1f3fc
👩🏽	woman: medium skin tone	1f469-1f3fd
👩🏾	woman: medium-dark skin tone	1f469-1f3fe
👩🏿	woman: dark skin tone	1f469-1f3ff
👩‍🦰	woman: red hair	1f469-200d-1f9b0
👩🏻‍🦰	woman: light skin tone, red hair	1f469-1f3fb-200d-1f9b0
👩🏼‍🦰	woman: medium-light skin tone, red hair	1f469-1f3fc-200d-1f9b0
👩🏽‍🦰	woman: medium skin tone, red hair	1f469-1f3fd-200d-1f9b0
👩🏾‍🦰	woman: medium-dark skin tone, red hair	1f469-1f3fe-200d-1f9b0
👩🏿‍🦰	woman: dark skin tone, red hair	1f469-1f3ff-200d-1f9b0
🧑‍🦰	person: red hair	1f9d1-200d-1f9b0
🧑🏻‍🦰	person: light skin tone, red hair	1f9d1-1f3fb-200d-1f9b0
🧑🏼‍🦰	person: medium-light skin tone, red hair	1f9d1-1f3fc-200d-1f9b0
🧑🏽‍🦰	person: medium skin tone, red hair	1f9d1-1f3fd-200d-1f9b0
🧑🏾‍🦰	person: medium-dark skin tone, red hair	1f9d1-1f3fe-200d-1f9b0
🧑🏿‍🦰	person: dark skin tone, red hair	1f9d1-1f3ff-200d-1f9b0
👩‍🦱	woman: curly hair	1f469-200d-1f9b1
👩🏻‍🦱	woman: light skin tone, curly hair	1f469-1f3fb-200d-1f9b1
👩🏼‍🦱	woman: medium-light skin tone, curly hair	1f469-1f3fc-200d-1f9b1
👩🏽‍🦱	woman: medium skin tone, curly hair	1f469-1f3fd-200d-1f9b1
👩🏾‍🦱	woman: medium-dark skin tone, curly hair	1f469-1f3fe-200d-1f9b1
👩🏿‍🦱	woman: dark skin tone, curly hair	1f469-1f3ff-200d-1f9b1
🧑‍🦱	person: curly hair	1f9d1-200d-1f9b1
🧑🏻‍🦱	person: light skin tone, curly hair	1f9d1-1f3fb-200d-1f9b1
🧑🏼‍🦱	person: medium-light skin tone, curly hair	1f9d1-1f3fc-200d-1f9b1
🧑🏽‍🦱	person: medium skin tone, curly hair	1f9d1-1f3fd-200d-1f9b1
🧑🏾‍🦱	person: medium-dark skin tone, curly hair	1f9d1-1f3fe-200d-1f9b1
🧑🏿‍🦱	person: dark skin tone, curly hair	1f9d1-1f3ff-200d-1f9b1
👩‍🦳	woman: white hair	1f469-200d-1f9b3
👩🏻‍🦳	woman: light skin tone, white hair	1f469-1f3fb-200d-1f9b3
👩🏼‍🦳	woman: medium-light skin tone, white hair	1f469-1f3fc-200d-1f9b3
👩🏽‍🦳	woman: medium skin tone, white hair	1f469-1f3fd-200d-1f9b3
👩🏾‍🦳	woman: medium-dark skin tone, white hair	1f469-1f3fe-200d-1f9b3
👩🏿‍🦳	woman: dark skin tone, white hair	1f469-1f3ff-200d-1f9b3
🧑‍🦳	person: white hair	1f9d1-200d-1f9b3
🧑🏻‍🦳	person: light skin tone, white hair	1f9d1-1f3fb-200d-1f9b3
🧑🏼‍🦳	person: medium-light skin tone, white hair	1f9d1-1f3fc-200d-1f9b3
🧑🏽‍🦳	person: medium skin tone, white hair	1f9d1-1f3fd-200d-1f9b3
🧑🏾‍🦳	person: medium-dark skin tone, white hair	1f9d1-1f3fe-200d-1f9b3
🧑🏿‍🦳	person: dark skin tone, white hair	1f9d1-1f3ff-200d-1f9b3
👩‍🦲	woman: bald	1f469-200d-1f9b2
👩🏻‍🦲	woman: light skin tone, bald	1f469-1f3fb-200d-1f9b2
👩🏼‍🦲	woman: medium-light skin tone, bald	1f469-1f3fc-200d-1f9b2
👩🏽‍🦲	woman: medium skin tone, bald	1f469-1f3fd-200d-1f9b2
👩🏾‍🦲	woman: medium-dark skin tone, bald	1f469-1f3fe-200d-1f9b2
👩🏿‍🦲	woman: dark skin tone, bald	1f469-1f3ff-200d-1f9b2
🧑‍🦲	person: bald	1f9d1-200d-1f9b2
🧑🏻‍🦲	person: light skin tone, bald	1f9d1-1f3fb-200d-1f9b2
🧑🏼‍🦲	person: medium-light skin tone, bald	1f9d1-1f3fc-200d-1f9b2
🧑🏽‍🦲	person: medium skin tone, bald	1f9d1-1f3fd-200d-1f9b2
🧑🏾‍🦲	person: medium-dark skin tone, bald	1f9d1-1f3fe-200d-1f9b2
🧑🏿‍🦲	person: dark skin tone, bald	1f9d1-1f3ff-200d-1f9b2
👱‍♀️	woman: blond hair	1f471-200d-2640-fe0f
👱🏻‍♀️	woman: light skin tone, blond hair	1f471-1f3fb-200d-2640-fe0f
👱🏼‍♀️	woman: medium-light skin tone, blond hair	1f471-1f3fc-200d-2640-fe0f
👱🏽‍♀️	woman: medium skin tone, blond hair	1f471-1f3fd-200d-2640-fe0f
👱🏾‍♀️	woman: medium-dark skin tone, blond hair	1f471-1f3fe-200d-2640-fe0f
👱🏿‍♀️	woman: dark skin tone, blond hair	1f471-1f3ff-200d-2640-fe0f
👱‍♂️	man: blond hair	1f471-200d-2642-fe0f
👱🏻‍♂️	man: light skin tone, blond hair	1f471-1f3fb-200d-2642-fe0f
👱🏼‍♂️	man: medium-light skin tone, blond hair	1f471-1f3fc-200d-2642-fe0f
👱🏽‍♂️	man: medium skin tone, blond hair	1f471-1f3fd-200d-2642-fe0f
👱🏾‍♂️	man: medium-dark skin tone, blond hair	1f471-1f3fe-200d-2642-fe0f
👱🏿‍♂️	man: dark skin tone, blond hair	1f471-1f3ff-200d-2642-fe0f
🧓	older person	1f9d3
🧓🏻	older person: light skin tone	1f9d3-1f3fb
🧓🏼	older person: medium-light skin tone	1f9d3-1f3fc
🧓🏽	older person: medium skin tone	1f9d3-1f3fd
🧓🏾	older person: medium-dark skin tone	1f9d3-1f3fe
🧓🏿	older person: dark skin tone	1f9d3-1f3ff
👴	old man	1f474
👴🏻	old man: light skin tone	1f474-1f3fb
👴🏼	old man: medium-light skin tone	1f474-1f3fc
👴🏽	old man: medium skin tone	1f474-1f3fd
👴🏾	old man: medium-dark skin tone	1f474-1f3fe
👴🏿	old man: dark skin tone	1f474-1f3ff
👵	old woman	1f475
👵🏻	old woman: light skin tone	1f475-1f3fb
👵🏼	old woman: medium-light skin tone	1f475-1f3fc
👵🏽	old woman: medium skin tone	1f475-1f3fd
👵🏾	old woman: medium-dark skin tone	1f475-1f3fe
👵🏿	old woman: dark skin tone	1f475-1f3ff
🙍	person frowning	1f64d
🙍🏻	person frowning: light skin tone	1f64d-1f3fb
🙍🏼	person frowning: medium-light skin tone	1f64d-1f3fc
🙍🏽	person frowning: medium skin tone	1f64d-1f3fd
🙍🏾	person frowning: medium-dark skin tone	1f64d-1f3fe
🙍🏿	person frowning: dark skin tone	1f64d-1f3ff
🙍‍♂️	man frowning	1f64d-200d-2642-fe0f
🙍🏻‍♂️	man frowning: light skin tone	1f64d-1f3fb-200d-2642-fe0f
🙍🏼‍♂️	man frowning: medium-light skin tone	1f64d-1f3fc-200d-2642-fe0f
🙍🏽‍♂️	man frowning: medium skin tone	1f64d-1f3fd-200d-2642-fe0f
🙍🏾‍♂️	man frowning: medium-dark skin tone	1f64d-1f3fe-200d-2642-fe0f
🙍🏿‍♂️	man frowning: dark skin tone	1f64d-1f3ff-200d-2642-fe0f
🙍‍♀️	woman frowning	1f64d-200d-2640-fe0f
🙍🏻‍♀️	woman frowning: light skin tone	1f64d-1f3fb-200d-2640-fe0f
🙍🏼‍♀️	woman frowning: medium-light skin tone	1f64d-1f3fc-200d-2640-fe0f
🙍🏽‍♀️	woman frowning: medium skin tone	1f64d-1f3fd-200d-2640-fe0f
🙍🏾‍♀️	woman frowning: medium-dark skin tone	1f64d-1f3fe-200d-2640-fe0f
🙍🏿‍♀️	woman frowning: dark skin tone	1f64d-1f3ff-200d-2640-fe0f
🙎	person pouting	1f64e
🙎🏻	person pouting: light skin tone	1f64e-1f3fb
🙎🏼	person pouting: medium-light skin tone	1f64e-1f3fc
🙎🏽	person pouting: medium skin tone	1f64e-1f3fd
🙎🏾	person pouting: medium-dark skin tone	1f64e-1f3fe
🙎🏿	person pouting: dark skin tone	1f64e-1f3ff
🙎‍♂️	man pouting	1f64e-200d-2642-fe0f
🙎🏻‍♂️	man pouting: light skin tone	1f64e-1f3fb-200d-2642-fe0f
🙎🏼‍♂️	man pouting: medium-light skin tone	1f64e-1f3fc-200d-2642-fe0f
🙎🏽‍♂️	man pouting: medium skin tone	1f64e-1f3fd-200d-2642-fe0f
🙎🏾‍♂️	man pouting: medium-dark skin tone	1f64e-1f3fe-200d-2642-fe0f
🙎🏿‍♂️	man pouting: dark skin tone	1f64e-1f3ff-200d-2642-fe0f
🙎‍♀️	woman pouting	1f64e-200d-2640-fe0f
🙎🏻‍♀️	woman pouting: light skin tone	1f64e-1f3fb-200d-2640-fe0f
🙎🏼‍♀️	woman pouting: medium-light skin tone	1f64e-1f3fc-200d-2640-fe0f
🙎🏽‍♀️	woman pouting: medium skin tone	1f64e-1f3fd-200d-2640-fe0f
🙎🏾‍♀️	woman pouting: medium-dark skin tone	1f64e-1f3fe-200d-2640-fe0f
🙎🏿‍♀️	woman pouting: dark skin tone	1f64e-1f3ff-200d-2640-fe0f
🙅	person gesturing NO	1f645
🙅🏻	person gesturing NO: light skin tone	1f645-1f3fb
🙅🏼	person gesturing NO: medium-light skin tone	1f645-1f3fc
🙅🏽	person gesturing NO: medium skin tone	1f645-1f3fd
🙅🏾	person gesturing NO: medium-dark skin tone	1f645-1f3fe
🙅🏿	person gesturing NO: dark skin tone	1f645-1f3ff
🙅‍♂️	man gesturing NO	1f645-200d-2642-fe0f
🙅🏻‍♂️	man gesturing NO: light skin tone	1f645-1f3fb-200d-2642-fe0f
🙅🏼‍♂️	man gesturing NO: medium-light skin tone	1f645-1f3fc-200d-2642-fe0f
🙅🏽‍♂️	man gesturing NO: medium skin tone	1f645-1f3fd-200d-2642-fe0f
🙅🏾‍♂️	man gesturing NO: medium-dark skin tone	1f645-1f3fe-200d-2642-fe0f
🙅🏿‍♂️	man gesturing NO: dark skin tone	1f645-1f3ff-200d-2642-fe0f
🙅‍♀️	woman gesturing NO	1f645-200d-2640-fe0f
🙅🏻‍♀️	woman gesturing NO: light skin tone	1f645-1f3fb-200d-2640-fe0f
🙅🏼‍♀️	woman gesturing NO: medium-light skin tone	1f645-1f3fc-200d-2640-fe0f
🙅🏽‍♀️	woman gesturing NO: medium skin tone	1f645-1f3fd-200d-2640-fe0f
🙅🏾‍♀️	woman gesturing NO: medium-dark skin tone	1f645-1f3fe-200d-2640-fe0f
🙅🏿‍♀️	woman gesturing NO: dark skin tone	1f645-1f3ff-200d-2640-fe0f
🙆	person gesturing OK	1f646
🙆🏻	person gesturing OK: light skin tone	1f646-1f3fb
🙆🏼	person gesturing OK: medium-light skin tone	1f646-1f3fc
🙆🏽	person gesturing OK: medium skin tone	1f646-1f3fd
🙆🏾	person gesturing OK: medium-dark skin tone	1f646-1f3fe
🙆🏿	person gesturing OK: dark skin tone	1f646-1f3ff
🙆‍♂️	man gesturing OK	1f646-200d-2642-fe0f
🙆🏻‍♂️	man gesturing OK: light skin tone	1f646-1f3fb-200d-2642-fe0f
🙆🏼‍♂️	man gesturing OK: medium-light skin tone	1f646-1f3fc-200d-2642-fe0f
🙆🏽‍♂️	man gesturing OK: medium skin tone	1f646-1f3fd-200d-2642-fe0f
🙆🏾‍♂️	man gesturing OK: medium-dark skin tone	1f646-1f3fe-200d-2642-fe0f
🙆🏿‍♂️	man gesturing OK: dark skin tone	1f646-1f3ff-200d-2642-fe0f
🙆‍♀️	woman gesturing OK	1f646-200d-2640-fe0f
🙆🏻‍♀️	woman gesturing OK: light skin tone	1f646-1f3fb-200d-2640-fe0f
🙆🏼‍♀️	woman gesturing OK: medium-light skin tone	1f646-1f3fc-200d-2640-fe0f
🙆🏽‍♀️	woman gesturing OK: medium skin tone	1f646-1f3fd-200d-2640-fe0f
🙆🏾‍♀️	woman gesturing OK: medium-dark skin tone	1f646-1f3fe-200d-2640-fe0f
🙆🏿‍♀️	woman gesturing OK: dark skin tone	1f646-1f3ff-200d-2640-fe0f
💁	person tipping hand	1f481
💁🏻	person tipping hand: light skin tone	1f481-1f3fb
💁🏼	person tipping hand: medium-light skin tone	1f481-1f3fc
💁🏽	person tipping hand: medium skin tone	1f481-1f3fd
💁🏾	person tipping hand: medium-dark skin tone	1f481-1f3fe
💁🏿	person tipping hand: dark skin tone	1f481-1f3ff
💁‍♂️	man tipping hand	1f481-200d-2642-fe0f
💁🏻‍♂️	man tipping hand: light skin tone	1f481-1f3fb-200d-2642-fe0f
💁🏼‍♂️	man tipping hand: medium-light skin tone	1f481-1f3fc-200d-2642-fe0f
💁🏽‍♂️	man tipping hand: medium skin tone	1f481-1f3fd-200d-2642-fe0f
💁🏾‍♂️	man tipping hand: medium-dark skin tone	1f481-1f3fe-200d-2642-fe0f
💁🏿‍♂️	man tipping hand: dark skin tone	1f481-1f3ff-200d-2642-fe0f
💁‍♀️	woman tipping hand	1f481-200d-2640-fe0f
💁🏻‍♀️	woman tipping hand: light skin tone	1f481-1f3fb-200d-2640-fe0f
💁🏼‍♀️	woman tipping hand: medium-light skin tone	1f481-1f3fc-200d-2640-fe0f
💁🏽‍♀️	woman tipping hand: medium skin tone	1f481-1f3fd-200d-2640-fe0f
💁🏾‍♀️	woman tipping hand: medium-dark skin tone	1f481-1f3fe-200d-2640-fe0f
💁🏿‍♀️	woman tipping hand: dark skin tone	1f481-1f3ff-200d-2640-fe0f
🙋	person raising hand	1f64b
🙋🏻	person raising hand: light skin tone	1f64b-1f3fb
🙋🏼	person raising hand: medium-light skin tone	1f64b-1f3fc
🙋🏽	person raising hand: medium skin tone	1f64b-1f3fd
🙋🏾	person raising hand: medium-dark skin tone	1f64b-1f3fe
🙋🏿	person raising hand: dark skin tone	1f64b-1f3ff
🙋‍♂️	man raising hand	1f64b-200d-2642-fe0f
🙋🏻‍♂️	man raising hand: light skin tone	1f64b-1f3fb-200d-2642-fe0f
🙋🏼‍♂️	man raising hand: medium-light skin tone	1f64b-1f3fc-200d-2642-fe0f
🙋🏽‍♂️	man raising hand: medium skin tone	1f64b-1f3fd-200d-2642-fe0f
🙋🏾‍♂️	man raising hand: medium-dark skin tone	1f64b-1f3fe-200d-2642-fe0f
🙋🏿‍♂️	man raising hand: dark skin tone	1f64b-1f3ff-200d-2642-fe0f
🙋‍♀️	woman raising hand	1f64b-200d-2640-fe0f
🙋🏻‍♀️	woman raising hand: light skin tone	1f64b-1f3fb-200d-2640-fe0f
🙋🏼‍♀️	woman raising hand: medium-light skin tone	1f64b-1f3fc-200d-2640-fe0f
🙋🏽‍♀️	woman raising hand: medium skin tone	1f64b-1f3fd-200d-2640-fe0f
🙋🏾‍♀️	woman raising hand: medium-dark skin tone	1f64b-1f3fe-200d-2640-fe0f
🙋🏿‍♀️	woman raising hand: dark skin tone	1f64b-1f3ff-200d-2640-fe0f
🧏	deaf person	1f9cf
🧏🏻	deaf person: light skin tone	1f9cf-1f3fb
🧏🏼	deaf person: medium-light skin tone	1f9cf-1f3fc
🧏🏽	deaf person: medium skin tone	1f9cf-1f3fd
🧏🏾	deaf person: medium-dark skin tone	1f9cf-1f3fe
🧏🏿	deaf person: dark skin tone	1f9cf-1f3ff
🧏‍♂️	deaf man	1f9cf-200d-2642-fe0f
🧏🏻‍♂️	deaf man: light skin tone	1f9cf-1f3fb-200d-2642-fe0f
🧏🏼‍♂️	deaf man: medium-light skin tone	1f9cf-1f3fc-200d-2642-fe0f
🧏🏽‍♂️	deaf man: medium skin tone	1f9cf-1f3fd-200d-2642-fe0f
🧏🏾‍♂️	deaf man: medium-dark skin tone	1f9cf-1f3fe-200d-2642-fe0f
🧏🏿‍♂️	deaf man: dark skin tone	1f9cf-1f3ff-200d-2642-fe0f
🧏‍♀️	deaf woman	1f9cf-200d-2640-fe0f
🧏🏻‍♀️	deaf woman: light skin tone	1f9cf-1f3fb-200d-2640-fe0f
🧏🏼‍♀️	deaf woman: medium-light skin tone	1f9cf-1f3fc-200d-2640-fe0f
🧏🏽‍♀️	deaf woman: medium skin tone	1f9cf-1f3fd-200d-2640-fe0f
🧏🏾‍♀️	deaf woman: medium-dark skin tone	1f9cf-1f3fe-200d-2640-fe0f
🧏🏿‍♀️	deaf woman: dark skin tone	1f9cf-1f3ff-200d-2640-fe0f
🙇	person bowing	1f647
🙇🏻	person bowing: light skin tone	1f647-1f3fb
🙇🏼	person bowing: medium-light skin tone	1f647-1f3fc
🙇🏽	person bowing: medium skin tone	1f647-1f3fd
🙇🏾	person bowing: medium-dark skin tone	1f647-1f3fe
🙇🏿	person bowing: dark skin tone	1f647-1f3ff
🙇‍♂️	man bowing	1f647-200d-2642-fe0f
🙇🏻‍♂️	man bowing: light skin tone	1f647-1f3fb-200d-2642-fe0f
🙇🏼‍♂️	man bowing: medium-light skin tone	1f647-1f3fc-200d-2642-fe0f
🙇🏽‍♂️	man bowing: medium skin tone	1f647-1f3fd-200d-2642-fe0f
🙇🏾‍♂️	man bowing: medium-dark skin tone	1f647-1f3fe-200d-2642-fe0f
🙇🏿‍♂️	man bowing: dark skin tone	1f647-1f3ff-200d-2642-fe0f
🙇‍♀️	woman bowing	1f647-200d-2640-fe0f
🙇🏻‍♀️	woman bowing: light skin tone	1f647-1f3fb-200d-2640-fe0f
🙇🏼‍♀️	woman bowing: medium-light skin tone	1f647-1f3fc-200d-2640-fe0f
🙇🏽‍♀️	woman bowing: medium skin tone	1f647-1f3fd-200d-2640-fe0f
🙇🏾‍♀️	woman bowing: medium-dark skin tone	1f647-1f3fe-200d-2640-fe0f
🙇🏿‍♀️	woman bowing: dark skin tone	1f647-1f3ff-200d-2640-fe0f
🤦	person facepalming	1f926
🤦🏻	person facepalming: light skin tone	1f926-1f3fb
🤦🏼	person facepalming: medium-light skin tone	1f926-1f3fc
🤦🏽	person facepalming: medium skin tone	1f926-1f3fd
🤦🏾	person facepalming: medium-dark skin tone	1f926-1f3fe
🤦🏿	person facepalming: dark skin tone	1f926-1f3ff
🤦‍♂️	man facepalming	1f926-200d-2642-fe0f
🤦🏻‍♂️	man facepalming: light skin tone	1f926-1f3fb-200d-2642-fe0f
🤦🏼‍♂️	man facepalming: medium-light skin tone	1f926-1f3fc-200d-2642-fe0f
🤦🏽‍♂️	man facepalming: medium skin tone	1f926-1f3fd-200d-2642-fe0f
🤦🏾‍♂️	man facepalming: medium-dark skin tone	1f926-1f3fe-200d-2642-fe0f
🤦🏿‍♂️	man facepalming: dark skin tone	1f926-1f3ff-200d-2642-fe0f
🤦‍♀️	woman facepalming	1f926-200d-2640-fe0f
🤦🏻‍♀️	woman facepalming: light skin tone	1f926-1f3fb-200d-2640-fe0f
🤦🏼‍♀️	woman facepalming: medium-light skin tone	1f926-1f3fc-200d-2640-fe0f
🤦🏽‍♀️	woman facepalming: medium skin tone	1f926-1f3fd-200d-2640-fe0f
🤦🏾‍♀️	woman facepalming: medium-dark skin tone	1f926-1f3fe-200d-2640-fe0f
🤦🏿‍♀️	woman facepalming: dark skin tone	1f926-1f3ff-200d-2640-fe0f
🤷	person shrugging	1f937
🤷🏻	person shrugging: light skin tone	1f937-1f3fb
🤷🏼	person shrugging: medium-light skin tone	1f937-1f3fc
🤷🏽	person shrugging: medium skin tone	1f937-1f3fd
🤷🏾	person shrugging: medium-dark skin tone	1f937-1f3fe
🤷🏿	person shrugging: dark skin tone	1f937-1f3ff
🤷‍♂️	man shrugging	1f937-200d-2642-fe0f
🤷🏻‍♂️	man shrugging: light skin tone	1f937-1f3fb-200d-2642-fe0f
🤷🏼‍♂️	man shrugging: medium-light skin tone	1f937-1f3fc-200d-2642-fe0f
🤷🏽‍♂️	man shrugging: medium skin tone	1f937-1f3fd-200d-2642-fe0f
🤷🏾‍♂️	man shrugging: medium-dark skin tone	1f937-1f3fe-200d-2642-fe0f
🤷🏿‍♂️	man shrugging: dark skin tone	1f937-1f3ff-200d-2642-fe0f
🤷‍♀️	woman shrugging	1f937-200d-2640-fe0f
🤷🏻‍♀️	woman shrugging: light skin tone	1f937-1f3fb-200d-2640-fe0f
🤷🏼‍♀️	woman shrugging: medium-light skin tone	1f937-1f3fc-200d-2640-fe0f
🤷🏽‍♀️	woman shrugging: medium skin tone	1f937-1f3fd-200d-2640-fe0f
🤷🏾‍♀️	woman shrugging: medium-dark skin tone	1f937-1f3fe-200d-2640-fe0f
🤷🏿‍♀️	woman shrugging: dark skin tone	1f937-1f3ff-200d-2640-fe0f
🧑‍⚕️	health worker	1f9d1-200d-2695-fe0f
🧑🏻‍⚕️	health worker: light skin tone	1f9d1-1f3fb-200d-2695-fe0f
🧑🏼‍⚕️	health worker: medium-light skin tone	1f9d1-1f3fc-200d-2695-fe0f
🧑🏽‍⚕️	health worker: medium skin tone	1f9d1-1f3fd-200d-2695-fe0f
🧑🏾‍⚕️	health worker: medium-dark skin tone	1f9d1-1f3fe-200d-2695-fe0f
🧑🏿‍⚕️	health worker: dark skin tone	1f9d1-1f3ff-200d-2695-fe0f
👨‍⚕️	man health worker	1f468-200d-2695-fe0f
